label,n,p_model,p_book,diff,net_matches,se,z,p,n_for_80pct_power,significant
(I) World Cup 2022 finals,64,0.64,0.6,0.040000000000000036,2.5600000000000023,0.08573214099741124,0.4665694748158439,0.640807930647004,2307.570641898628,False
(II) Qualifiers 2026  [WMQ2026],778,0.62,0.66,-0.040000000000000036,-31.120000000000026,0.02431583105926729,-1.6450188316617362,0.09996592764256218,2256.5529236253587,False
(II-alt) Qualifiers 2022 [WMQ2022],807,0.62,0.66,-0.040000000000000036,-32.28000000000003,0.023874932284170564,-1.6753974220283185,0.0938562820931208,2256.5529236253587,False
