,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
poisson,0,-4200.045659620144,165.79160876042897,0.0,1.0,43.99509303450861,0.0,False,log
nbinom,1,-4200.855399816976,161.72164756039183,0.8097401968322027,0.0,43.88040936016705,0.5015345070011977,False,log
