season,name_player,position_player,date_of_birth,N_games_left,N_games_center,N_games_right,nationality_player,height_player,weight_player
2024-25,emmanuel-gyasi-2,Sturm,1994-01-11 00:00:00,0,0,19,Ghana,,
2024-25,jacopo-fazzini,Mittelfeld,2003-03-16 00:00:00,0,6,1,Italien,,
2024-25,liam-henderson,Mittelfeld,1996-04-25 00:00:00,1,10,1,Schottland,,
2024-25,youssef-maleh,Mittelfeld,1998-08-22 00:00:00,2,9,0,Marokko,,
2024-25,giuseppe-pezzella,Abwehr,1997-11-29 00:00:00,16,1,0,Italien,,
2024-25,lorenzo-colombo,Sturm,2002-03-08 00:00:00,0,16,0,Italien,,
2024-25,sebastiano-esposito,Sturm,2002-07-02 00:00:00,0,11,0,Italien,,
2024-25,ola-solbakken,Mittelfeld,1998-09-07 00:00:00,0,6,0,Norwegen,186.0,"
<"
2024-25,emmanuel-ekong,Sturm,2002-06-25 00:00:00,0,0,0,Schweden,,
2024-25,nicolas-haas,Mittelfeld,1996-01-23 00:00:00,0,2,0,Schweiz,,
2024-25,francesco-caputo,Sturm,1987-08-06 00:00:00,0,0,0,Italien,,
2024-25,liberato-cacace,Abwehr,2000-09-27 00:00:00,4,3,0,Neuseeland,,
2024-25,semuel-pizzignacco,Tor,2001-09-01 00:00:00,0,3,0,Italien,,
2024-25,armando-izzo,Abwehr,1992-03-02 00:00:00,0,0,16,Italien,,
2024-25,pablo-mari,Abwehr,1993-08-31 00:00:00,0,18,0,Spanien,,
2024-25,luca-caldirola,Abwehr,1991-02-01 00:00:00,5,0,1,Italien,,
2024-25,samuele-birindelli,Abwehr,1999-07-19 00:00:00,0,1,5,Italien,,
2024-25,matteo-pessina,Mittelfeld,1997-04-21 00:00:00,0,10,0,Italien,,
2024-25,warren-bondo,Mittelfeld,2003-09-15 00:00:00,0,17,0,Frankreich,177.0,"
<"
2024-25,georgios-kyriakopoulos,Abwehr,1996-02-05 00:00:00,17,0,0,Griechenland,,
2024-25,samuele-vignato,Mittelfeld,2004-02-24 00:00:00,0,2,0,Italien,,
2024-25,daniel-maldini,Sturm,2001-10-11 00:00:00,0,13,0,Italien,,
2024-25,andrea-petagna,Sturm,1995-06-30 00:00:00,0,2,0,Italien,,
2024-25,roberto-gagliardini,Mittelfeld,1994-04-07 00:00:00,0,0,0,Italien,,
2024-25,dany-mota,Sturm,1998-05-02 00:00:00,0,12,0,Portugal,180.0,"
<"
2024-25,gianluca-caprari,Sturm,1993-07-30 00:00:00,0,10,0,Italien,,
2024-25,mike-maignan,Tor,1995-07-03 00:00:00,0,29,0,Frankreich,,
2024-25,davide-calabria,Abwehr,1996-12-06 00:00:00,0,0,5,Italien,,
2024-25,fikayo-tomori,Abwehr,1997-12-19 00:00:00,0,11,0,England,,
2024-25,malick-thiaw,Abwehr,2001-08-08 00:00:00,0,13,0,Deutschland,,
2024-25,alexis-saelemaekers,Mittelfeld,1999-06-27 00:00:00,6,4,6,Belgien,,
2024-25,ismael-bennacer,Mittelfeld,1997-12-01 00:00:00,0,1,0,Algerien,,
2024-25,ruben-loftus-cheek,Mittelfeld,1996-01-23 00:00:00,1,7,2,England,,
2024-25,samu-chukwueze,Sturm,1999-05-22 00:00:00,0,0,10,Nigeria,,
2024-25,christian-pulisic,Mittelfeld,1998-09-18 00:00:00,1,8,8,USA,,
2024-25,rafael-leao,Sturm,1999-06-10 00:00:00,21,1,0,Portugal,,
2024-25,luka-jovic,Sturm,1997-12-23 00:00:00,0,3,0,Serbien,,
2024-25,tijjani-reijnders-2,Mittelfeld,1998-07-29 00:00:00,2,23,1,Niederlande,,
2024-25,theo,Abwehr,1997-10-06 00:00:00,20,0,0,Frankreich,,
2024-25,alvaro-morata,Sturm,1992-10-23 00:00:00,0,17,0,Spanien,,
2024-25,yunus-musah,Mittelfeld,2002-11-29 00:00:00,1,1,5,USA,,
2024-25,noah-okafor,Sturm,2000-05-24 00:00:00,5,2,0,Schweiz,,
2024-25,vanja-milinkovic-savic,Tor,1997-02-20 00:00:00,0,18,0,Serbien,,
2024-25,mergim-vojvoda,Abwehr,1995-02-01 00:00:00,5,0,11,Kosovo,,
2024-25,saul-coco,Abwehr,1999-02-09 00:00:00,4,11,2,Äquatorial-Guinea,,
2024-25,adam-masina,Abwehr,1994-01-02 00:00:00,15,0,0,Marokko,,
2024-25,raoul-bellanova,Abwehr,2000-05-17 00:00:00,0,0,38,Italien,,
2024-25,samuele-ricci,Mittelfeld,2001-08-21 00:00:00,3,8,11,Italien,,
2024-25,karol-linetty,Mittelfeld,1995-02-02 00:00:00,0,12,1,Polen,,
2024-25,ivan-ilic,Mittelfeld,2001-03-17 00:00:00,7,2,1,Serbien,,
2024-25,valentino-lazaro,Mittelfeld,1996-03-24 00:00:00,8,0,5,Österreich,,
2024-25,antonio-sanabria,Sturm,1996-03-04 00:00:00,0,13,0,Paraguay,,
2024-25,duvan-zapata,Sturm,1991-04-01 00:00:00,0,7,0,Kolumbien,,
2024-25,che-adams,Sturm,1996-07-13 00:00:00,0,14,0,Schottland,,
2024-25,adrien-tameze,Mittelfeld,1994-02-04 00:00:00,0,2,2,Frankreich,,
2024-25,yann-karamoh,Sturm,1998-07-08 00:00:00,0,4,0,Frankreich,,
2024-25,ali-dembele,Abwehr,2004-01-05 00:00:00,0,0,0,Frankreich,,
2024-25,saba-sazonov,Abwehr,2002-02-01 00:00:00,0,0,0,Georgien,194.0,"
<"
2024-25,lukasz-skorupski,Tor,1991-05-05 00:00:00,0,20,0,Polen,,
2024-25,stefan-posch,Abwehr,1997-05-14 00:00:00,0,2,16,Österreich,,
2024-25,martin-erlic,Abwehr,1998-01-24 00:00:00,0,4,0,Kroatien,,
2024-25,sam-beukema,Abwehr,1998-11-17 00:00:00,0,22,0,Niederlande,,
2024-25,charalampos-lykogiannis,Abwehr,1993-10-22 00:00:00,8,0,0,Griechenland,,
2024-25,remo-freuler,Mittelfeld,1992-04-15 00:00:00,0,28,0,Schweiz,,
2024-25,nikola-moro,Mittelfeld,1998-03-12 00:00:00,3,8,1,Kroatien,,
2024-25,riccardo-orsolini,Sturm,1997-01-24 00:00:00,0,0,15,Italien,,
2024-25,giovanni-fabbian,Mittelfeld,2003-01-14 00:00:00,2,4,3,Italien,,
2024-25,dan-ndoye,Sturm,2000-10-25 00:00:00,15,0,3,Schweiz,,
2024-25,santiago-castro,Sturm,2004-09-18 00:00:00,0,18,0,Argentinien,,
2024-25,michel-aebischer,Mittelfeld,1997-01-06 00:00:00,5,1,2,Schweiz,,
2024-25,nicolo-cambiaghi,Sturm,2000-12-28 00:00:00,0,0,0,Italien,,
2024-25,juan-miranda,Abwehr,2000-01-19 00:00:00,13,0,0,Spanien,,
2024-25,thijs-dallinga,Sturm,2000-08-03 00:00:00,0,5,0,Niederlande,,
2024-25,jens-odgaard,Sturm,1999-03-31 00:00:00,2,8,2,Dänemark,,
2024-25,maduka-okoye,Tor,1999-08-28 00:00:00,0,14,0,Nigeria,,
2024-25,nehuen-perez,Abwehr,2000-06-24 00:00:00,0,19,2,Argentinien,,
2024-25,jaka-bijol,Abwehr,1999-02-05 00:00:00,0,23,0,Slowenien,,
2024-25,lautaro-daniel-gianetti,Abwehr,1993-11-13 00:00:00,6,2,3,Argentinien,184.0,"
<"
2024-25,kingsley-ehizibue,Abwehr,1995-05-25 00:00:00,0,0,19,Niederlande,,
2024-25,sandi-lovric,Mittelfeld,1998-03-28 00:00:00,1,4,12,Slowenien,,
2024-25,martin-payero,Mittelfeld,1998-09-11 00:00:00,6,2,0,Argentinien,,
2024-25,hassane-kamara,Abwehr,1994-03-05 00:00:00,9,0,0,Elfenbeinküste,,
2024-25,florian-thauvin,Sturm,1993-01-26 00:00:00,0,14,1,Frankreich,,
2024-25,lorenzo-lucca,Sturm,2000-09-10 00:00:00,0,15,0,Italien,,
2024-25,brenner,Sturm,2000-01-16 00:00:00,0,5,0,Brasilien,,
2024-25,jesper-karlstroem,Mittelfeld,1995-06-21 00:00:00,0,22,0,Schweden,,
2024-25,jurgen-ekkelenkamp,Mittelfeld,2000-04-05 00:00:00,6,2,0,Niederlande,,
2024-25,jordan-zemura,Abwehr,1999-11-14 00:00:00,10,0,0,Simbabwe,,
2024-25,keinan-davis,Sturm,1998-02-13 00:00:00,0,6,0,England,,
2024-25,lorenzo-montipo,Tor,1996-02-20 00:00:00,0,18,0,Italien,,
2024-25,pawel-dawidowicz,Abwehr,1995-05-20 00:00:00,5,2,8,Polen,,
2024-25,diego-coppola,Abwehr,2003-12-28 00:00:00,0,15,0,Italien,,
2024-25,martin-frese,Abwehr,1998-01-04 00:00:00,3,0,0,Dänemark,,
2024-25,jackson-tchatchoua,Mittelfeld,2001-06-23 00:00:00,1,0,17,Kamerun,,
2024-25,ondrej-duda,Mittelfeld,1994-12-05 00:00:00,2,11,4,Slowakei,,
2024-25,suat-serdar,Mittelfeld,1997-04-11 00:00:00,0,8,1,Deutschland,,
2024-25,darko-lazovic,Mittelfeld,1990-09-15 00:00:00,14,0,2,Serbien,,
2024-25,grigoris-kastanos,Mittelfeld,1998-01-30 00:00:00,0,9,3,Zypern,,
2024-25,casper-tengstedt,Sturm,2000-06-01 00:00:00,0,15,0,Dänemark,,
2024-25,dailon-rocha,Sturm,2001-05-04 00:00:00,3,3,0,Kapverde,,
2024-25,reda-belahyane,Mittelfeld,2004-06-01 00:00:00,0,14,0,Marokko,,
2024-25,giangiacomo-magnani,Abwehr,1995-09-04 00:00:00,1,7,2,Italien,,
2024-25,tomas-suslov,Mittelfeld,2002-06-07 00:00:00,1,4,14,Slowakei,173.0,"
<"
2024-25,daniel-mosquera,Sturm,1999-10-20 00:00:00,0,4,0,Kolumbien,,
2024-25,abdou-harroui,Mittelfeld,1998-01-13 00:00:00,2,3,0,Niederlande,,
2024-25,alex-meret,Tor,1997-03-22 00:00:00,0,16,0,Italien,,
2024-25,giovanni-di-lorenzo,Abwehr,1993-08-04 00:00:00,0,0,24,Italien,,
2024-25,amir-rrahmani,Abwehr,1994-02-24 00:00:00,0,24,0,Kosovo,,
2024-25,juan-jesus,Abwehr,1991-06-10 00:00:00,1,3,0,Brasilien,,
2024-25,pasquale-mazzocchi,Abwehr,1995-07-27 00:00:00,0,0,4,Italien,,
2024-25,andre-frank-zambo-anguissa,Mittelfeld,1995-11-16 00:00:00,0,6,13,Kamerun,,
2024-25,stanislav-lobotka,Mittelfeld,1994-11-25 00:00:00,0,20,0,Slowakei,,
2024-25,leonardo-spinazzola,Abwehr,1993-03-25 00:00:00,4,0,0,Italien,,
2024-25,matteo-politano,Sturm,1993-08-03 00:00:00,0,4,12,Italien,,
2024-25,khvicha-kvaratskhelia,Sturm,2001-02-12 00:00:00,12,9,0,Georgien,,
2024-25,giovanni-simeone,Sturm,1995-07-05 00:00:00,0,1,0,Argentinien,,
2024-25,giacomo-raspadori,Sturm,2000-02-18 00:00:00,0,4,0,Italien,,
2024-25,mathias-olivera,Abwehr,1997-10-31 00:00:00,16,0,0,Uruguay,,
2024-25,cyril-ngonge,Sturm,2000-05-26 00:00:00,0,0,1,Belgien,,
2024-25,walid-cheddira,Sturm,1998-01-22 00:00:00,0,5,0,Marokko,187.0,"
<"
2024-25,simone-scuffet,Tor,1996-05-31 00:00:00,0,13,0,Italien,,
2024-25,gabriele-zappa,Abwehr,1999-12-22 00:00:00,0,0,19,Italien,,
2024-25,mateusz-wieteska,Abwehr,1997-02-11 00:00:00,0,1,0,Polen,,
2024-25,sebastiano-luperto,Abwehr,1996-09-06 00:00:00,11,8,0,Italien,,
2024-25,paulo-azzi,Abwehr,1994-07-15 00:00:00,0,0,5,Brasilien,,
2024-25,alessandro-deiola,Mittelfeld,1995-08-01 00:00:00,4,2,2,Italien,,
2024-25,matteo-prati,Mittelfeld,2003-12-28 00:00:00,0,4,0,Italien,,
2024-25,razvan-marin,Mittelfeld,1996-05-23 00:00:00,4,6,6,Rumänien,,
2024-25,tommaso-augello,Abwehr,1994-08-30 00:00:00,16,0,0,Italien,,
2024-25,zito-2,Sturm,2002-03-09 00:00:00,3,9,0,Angola,,
2024-25,roberto-piccoli,Sturm,2001-01-27 00:00:00,0,19,0,Italien,,
2024-25,leonardo-pavoletti,Sturm,1988-11-26 00:00:00,0,0,0,Italien,,
2024-25,michel-ndary-adopo,Mittelfeld,2000-01-01 00:00:00,0,7,3,Frankreich,,
2024-25,gianluca-lapadula,Sturm,1990-02-07 00:00:00,0,1,0,Peru,,
2024-25,mile-svilar,Tor,1999-08-27 00:00:00,0,25,0,Serbien,,
2024-25,mehmet-zeki-celik,Abwehr,1997-02-17 00:00:00,0,0,22,Türkei,,
2024-25,gianluca-mancini,Abwehr,1996-04-17 00:00:00,0,4,18,Italien,,
2024-25,evan-ndicka,Abwehr,1999-08-20 00:00:00,7,17,0,Elfenbeinküste,,
2024-25,angelino,Abwehr,1997-01-04 00:00:00,24,0,0,Spanien,,
2024-25,enzo-le-fee,Mittelfeld,2000-02-03 00:00:00,1,5,0,Frankreich,,
2024-25,bryan-cristante,Mittelfeld,1995-03-03 00:00:00,0,11,3,Italien,,
2024-25,matias-soule-malvano,Mittelfeld,2003-04-15 00:00:00,0,6,3,Argentinien,,
2024-25,lorenzo-pellegrini,Mittelfeld,1996-06-19 00:00:00,4,11,0,Italien,,
2024-25,nicola-zalewski,Mittelfeld,2002-01-23 00:00:00,11,0,1,Polen,,
2024-25,artem-dovbyk,Sturm,1997-06-21 00:00:00,0,22,0,Ukraine,185.0,"
<"
2024-25,tommaso-baldanzi,Mittelfeld,2003-03-23 00:00:00,2,3,0,Italien,,
2024-25,paulo-dybala,Sturm,1993-11-15 00:00:00,0,15,0,Argentinien,,
2024-25,stephan-el-shaarawy,Sturm,1992-10-27 00:00:00,5,4,2,Italien,,
2024-25,tammy-abraham,Sturm,1997-10-02 00:00:00,0,16,0,England,,
2024-25,ivan-provedel,Tor,1994-03-17 00:00:00,0,20,0,Italien,,
2024-25,manuel-lazzari,Mittelfeld,1993-11-29 00:00:00,0,0,12,Italien,,
2024-25,nicolo-casale,Abwehr,1998-02-14 00:00:00,0,12,0,Italien,,
2024-25,alessio-romagnoli,Abwehr,1995-01-12 00:00:00,0,18,0,Italien,,
2024-25,adam-marusic,Abwehr,1992-10-17 00:00:00,2,0,18,Montenegro,,
2024-25,matteo-guendouzi,Mittelfeld,1999-04-14 00:00:00,2,17,6,Frankreich,,
2024-25,nicolo-rovella,Mittelfeld,2001-12-04 00:00:00,0,18,0,Italien,,
2024-25,fisayo-dele-bashiru,Mittelfeld,2001-02-06 00:00:00,3,7,0,Nigeria,,
2024-25,tijani-noslin,Sturm,1999-07-07 00:00:00,3,3,2,Niederlande,,
2024-25,valentin-castellanos,Sturm,1998-10-03 00:00:00,0,19,0,Argentinien,,
2024-25,mattia-zaccagni,Mittelfeld,1995-06-16 00:00:00,18,0,0,Italien,,
2024-25,matias-vecino,Mittelfeld,1991-08-24 00:00:00,2,7,0,Uruguay,,
2024-25,gustav-tang-isaksen,Sturm,2001-04-19 00:00:00,0,1,14,Dänemark,,
2024-25,loum-tchaouna,Sturm,2003-09-08 00:00:00,0,0,8,Frankreich,,
2024-25,gaetano-castrovilli,Mittelfeld,1997-02-17 00:00:00,0,1,0,Italien,,
2024-25,pedro-2,Sturm,1987-07-28 00:00:00,4,4,2,Spanien,,
2024-25,jesse-joronen,Tor,1993-03-21 00:00:00,0,8,0,Finnland,,
2024-25,giorgio-altare,Abwehr,1998-08-09 00:00:00,0,0,8,Italien,,
2024-25,michael-svoboda,Abwehr,1998-10-15 00:00:00,0,15,0,Österreich,,
2024-25,marin-sverko,Abwehr,1998-02-04 00:00:00,10,0,0,Kroatien,,
2024-25,richie-sagrado,Abwehr,2004-01-30 00:00:00,0,0,2,Belgien,,
2024-25,alfred-duncan,Mittelfeld,1993-03-10 00:00:00,0,10,0,Ghana,,
2024-25,magnus-kofoed-andersen,Mittelfeld,1999-05-10 00:00:00,0,7,0,Dänemark,,
2024-25,francesco-zampano,Abwehr,1993-09-30 00:00:00,6,0,9,Italien,,
2024-25,gaetano-oristanio,Sturm,2002-09-28 00:00:00,0,17,1,Italien,,
2024-25,mikael-egill-ellertsson,Mittelfeld,2002-03-11 00:00:00,7,6,2,Island,,
2024-25,christian-gytkjaer,Sturm,1990-05-06 00:00:00,0,2,0,Dänemark,,
2024-25,ridgeciano-haps,Abwehr,1993-06-12 00:00:00,8,0,0,Surinam,,
2024-25,nicholas-pierini,Sturm,1998-08-06 00:00:00,2,2,2,Italien,,
2024-25,domen-crnigoj,Mittelfeld,1995-11-18 00:00:00,1,0,0,Slowenien,,
2024-25,nunzio-lella,Abwehr,2000-07-28 00:00:00,0,2,6,Italien,188.0,"
<"
2024-25,antonio-raimondo,Sturm,2004-03-18 00:00:00,0,0,0,Italien,,
2024-25,wladimiro-falcone,Tor,1995-04-12 00:00:00,0,19,0,Italien,,
2024-25,valentin-gendrey,Abwehr,2000-06-21 00:00:00,0,0,15,Frankreich,,
2024-25,kialonda-gaspar,Abwehr,1997-09-27 00:00:00,0,15,0,Angola,,
2024-25,federico-baschirotto,Abwehr,1996-09-20 00:00:00,0,18,1,Italien,187.0,"
<"
2024-25,antonino-gallo,Mittelfeld,2000-01-05 00:00:00,15,0,0,Italien,,
2024-25,ylber-ramadani,Mittelfeld,1996-04-12 00:00:00,1,18,2,Albanien,185.0,"
<"
2024-25,balthazar-pierret,Mittelfeld,2000-05-15 00:00:00,2,7,0,Frankreich,,
2024-25,tete-morente,Mittelfeld,1996-12-04 00:00:00,6,0,3,Spanien,,
2024-25,hamza-rafia,Mittelfeld,1999-04-02 00:00:00,7,4,2,Tunesien,,
2024-25,patrick-dorgu,Abwehr,2004-10-26 00:00:00,6,1,12,Dänemark,,
2024-25,nikola-krstovic,Sturm,2000-04-05 00:00:00,3,22,0,Montenegro,,
2024-25,lassana-coulibaly,Mittelfeld,1996-04-10 00:00:00,1,7,4,Mali,,
2024-25,lameck-banda,Sturm,2001-01-29 00:00:00,6,0,0,Sambia,,
2024-25,santiago-pierotti,Sturm,2001-04-03 00:00:00,1,0,5,Argentinien,,
2024-25,filip-marchwinski,Mittelfeld,2002-01-10 00:00:00,0,0,0,Polen,187.0,"
<"
2024-25,medon-berisha,Mittelfeld,2003-10-21 00:00:00,0,3,0,Albanien,186.0,"
<"
2024-25,juan-musso,Tor,1994-05-06 00:00:00,0,2,0,Argentinien,,
2024-25,marten-de-roon,Mittelfeld,1991-03-29 00:00:00,1,17,4,Niederlande,,
2024-25,isak-hien,Abwehr,1999-01-13 00:00:00,0,24,0,Schweden,,
2024-25,berat-djimsiti,Abwehr,1993-02-19 00:00:00,3,4,12,Albanien,,
2024-25,davide-zappacosta,Mittelfeld,1992-06-11 00:00:00,9,0,6,Italien,,
2024-25,mario-pasalic,Mittelfeld,1995-02-09 00:00:00,0,19,0,Kroatien,,
2024-25,ederson-6,Mittelfeld,1999-07-07 00:00:00,0,22,0,Brasilien,,
2024-25,matteo-ruggeri,Mittelfeld,2002-07-11 00:00:00,16,0,0,Italien,,
2024-25,marco-brescianini,Mittelfeld,2000-01-20 00:00:00,0,6,0,Italien,,
2024-25,charles-de-ketelaere,Sturm,2001-03-10 00:00:00,0,21,0,Belgien,,
2024-25,mateo-retegui,Sturm,1999-04-29 00:00:00,0,23,0,Italien,,
2024-25,ben-godfrey,Abwehr,1998-01-15 00:00:00,0,0,0,England,,
2024-25,mitchel-bakker,Mittelfeld,2000-06-20 00:00:00,6,0,1,Niederlande,,
2024-25,federico-cassa,Mittelfeld,2006-02-01 00:00:00,0,0,0,Italien,,
2024-25,marco-palestra,Abwehr,2005-03-03 00:00:00,0,0,0,Italien,,
2024-25,sulemana,Mittelfeld,2003-05-22 00:00:00,0,0,0,Ghana,,
2024-25,michele-di-gregorio,Tor,1997-07-27 00:00:00,0,18,0,Italien,,
2024-25,andrea-cambiaso,Mittelfeld,2000-02-20 00:00:00,11,0,12,Italien,,
2024-25,federico-gatti,Abwehr,1998-06-24 00:00:00,0,19,1,Italien,,
