season,name_player,position_player,date_of_birth,N_games_left,N_games_center,N_games_right,nationality_player,height_player,weight_player
2024-25,alexander-prass,Mittelfeld,2001-05-26 00:00:00,23,0,0,Österreich,,
2024-25,grischa-proemel,Mittelfeld,1995-01-09 00:00:00,0,1,2,Deutschland,,
2024-25,andrej-kramaric,Sturm,1991-06-19 00:00:00,7,18,1,Kroatien,,
2024-25,adam-hlozek,Sturm,2002-07-25 00:00:00,2,11,7,Tschechien,,
2024-25,marius-buelter,Sturm,1993-03-29 00:00:00,6,8,0,Deutschland,,
2024-25,mergim-berisha,Sturm,1998-05-11 00:00:00,0,4,0,Deutschland,,
2024-25,jacob-bruun-larsen,Sturm,1998-09-19 00:00:00,3,4,1,Dänemark,,
2024-25,dennis-geiger-2,Mittelfeld,1998-06-10 00:00:00,0,2,0,Deutschland,,
2024-25,stanley-nsoki,Abwehr,1999-04-09 00:00:00,6,6,0,Frankreich,,
2024-25,max-moerstedt,Sturm,2006-01-15 00:00:00,0,4,0,Deutschland,,
2024-25,timon-weiner,Tor,1999-01-18 00:00:00,0,17,0,Deutschland,,
2024-25,marko-ivezic,Mittelfeld,2001-12-02 00:00:00,1,2,10,Serbien,,
2024-25,patrick-erras,Abwehr,1995-01-21 00:00:00,0,12,0,Deutschland,,
2024-25,marco-komenda,Abwehr,1996-11-26 00:00:00,4,0,0,Deutschland,,
2024-25,timo-becker-4,Abwehr,1997-03-25 00:00:00,0,0,14,Deutschland,,
2024-25,magnus-knudsen,Mittelfeld,2001-06-15 00:00:00,0,10,2,Norwegen,,
2024-25,lewis-holtby,Mittelfeld,1990-09-18 00:00:00,3,4,3,Deutschland,,
2024-25,tymoteusz-puchacz,Abwehr,1999-01-23 00:00:00,6,0,0,Polen,,
2024-25,shuto-machino,Sturm,1999-09-30 00:00:00,2,8,0,Japan,,
2024-25,alexander-bernhardsson,Sturm,1998-09-08 00:00:00,1,3,1,Schweden,,
2024-25,benedikt-pichler,Sturm,1997-07-20 00:00:00,0,8,0,Österreich,,
2024-25,finn-porath,Mittelfeld,1997-02-23 00:00:00,9,1,3,Deutschland,,
2024-25,andu-yobel-kelati,Mittelfeld,2002-08-13 00:00:00,0,1,0,Deutschland,,
2024-25,fiete-arp,Sturm,2000-01-06 00:00:00,0,2,0,Deutschland,,
2024-25,nicolai-remberg,Mittelfeld,2000-06-19 00:00:00,3,5,2,Deutschland,,
2024-25,marvin-schulz,Mittelfeld,1995-01-15 00:00:00,0,2,2,Deutschland,,
2024-25,florian-mueller-3,Tor,1997-11-13 00:00:00,0,5,0,Deutschland,,
2024-25,lukas-kuebler,Abwehr,1992-08-30 00:00:00,0,0,16,Deutschland,,
2024-25,max-rosenfelder,Abwehr,2003-02-10 00:00:00,0,6,0,Deutschland,,
2024-25,philipp-lienhart,Abwehr,1996-07-11 00:00:00,1,21,0,Österreich,,
2024-25,christian-guenter,Abwehr,1993-02-28 00:00:00,18,0,0,Deutschland,,
2024-25,maximilian-eggestein,Mittelfeld,1996-12-08 00:00:00,0,17,0,Deutschland,,
2024-25,patrick-osterhage,Mittelfeld,2000-02-01 00:00:00,1,16,0,Deutschland,,
2024-25,ritsu-doan,Mittelfeld,1998-06-16 00:00:00,0,0,17,Japan,,
2024-25,merlin-roehl,Mittelfeld,2002-07-05 00:00:00,0,3,0,Deutschland,,
2024-25,vincenzo-grifo,Mittelfeld,1993-04-07 00:00:00,16,0,0,Italien,,
2024-25,junior-adamu,Sturm,2001-06-06 00:00:00,0,12,0,Österreich,,
2024-25,lucas-hoeler,Sturm,1994-07-10 00:00:00,0,6,1,Deutschland,,
2024-25,roland-sallai,Mittelfeld,1997-05-22 00:00:00,4,2,8,Ungarn,,
2024-25,matthias-ginter,Abwehr,1994-01-19 00:00:00,0,13,0,Deutschland,,
2024-25,florent-muslija,Mittelfeld,1998-07-06 00:00:00,1,2,0,Kosovo,,
2024-25,bruno-ogbus,Abwehr,2005-12-17 00:00:00,0,0,1,Schweiz,,
2024-25,alexander-nuebel,Tor,1996-09-30 00:00:00,0,24,0,Deutschland,,
2024-25,pascal-stenzel,Abwehr,1996-03-20 00:00:00,0,0,7,Deutschland,,
2024-25,angelo-stiller,Mittelfeld,2001-04-04 00:00:00,0,23,0,Deutschland,,
2024-25,julian-chabot,Abwehr,1998-02-12 00:00:00,2,17,0,Deutschland,,
2024-25,jamie-leweling,Sturm,2001-02-26 00:00:00,8,0,5,Deutschland,,
2024-25,frans-kraetzig,Abwehr,2003-01-14 00:00:00,3,1,0,Deutschland,,
2024-25,enzo-millot,Mittelfeld,2002-07-17 00:00:00,1,12,6,Frankreich,,
2024-25,atakan-karazor,Mittelfeld,1996-10-13 00:00:00,0,21,0,Türkei,,
2024-25,deniz-undav,Sturm,1996-07-19 00:00:00,0,13,1,Deutschland,,
2024-25,chris-fuehrich,Mittelfeld,1998-01-09 00:00:00,16,0,0,Deutschland,,
2024-25,ermedin-demirovic,Sturm,1998-03-25 00:00:00,0,22,0,Bosnien-Herzegowina,,
2024-25,maximilian-mittelstaedt,Abwehr,1997-03-18 00:00:00,23,0,0,Deutschland,,
2024-25,anrie-chase,Abwehr,2004-03-24 00:00:00,0,10,2,Japan,,
2024-25,justin-diehl,Sturm,2004-11-27 00:00:00,0,1,0,Deutschland,,
2024-25,fabian-rieder,Mittelfeld,2002-02-16 00:00:00,0,2,11,Schweiz,,
2024-25,nick-woltemade,Sturm,2002-02-14 00:00:00,0,6,0,Deutschland,,
2024-25,nedilijko-labrovic,Tor,1999-10-10 00:00:00,0,16,0,Kroatien,,
2024-25,mads-pedersen,Abwehr,1996-09-01 00:00:00,0,0,3,Dänemark,,
2024-25,jeffrey-gouweleeuw,Abwehr,1991-07-10 00:00:00,0,17,0,Niederlande,,
2024-25,keven-schlotterbeck,Abwehr,1997-04-28 00:00:00,13,3,0,Deutschland,,
2024-25,dimitrios-giannoulis,Abwehr,1995-10-17 00:00:00,17,0,0,Griechenland,,
2024-25,tim-breithaupt,Mittelfeld,2002-02-07 00:00:00,0,3,0,Deutschland,,
2024-25,elvis-rexhbecaj,Mittelfeld,1997-11-01 00:00:00,1,13,6,Kosovo,,
2024-25,arne-maier,Mittelfeld,1999-01-08 00:00:00,3,3,0,Deutschland,,
2024-25,arne-engels,Mittelfeld,2003-09-09 00:00:00,4,3,14,Belgien,,
2024-25,samuel-essende,Sturm,1998-01-23 00:00:00,0,10,0,Kongo,,
2024-25,phillip-tietz,Sturm,1997-07-09 00:00:00,0,16,0,Deutschland,,
2024-25,fredrik-jensen,Mittelfeld,1997-09-09 00:00:00,0,1,2,Finnland,,
2024-25,niklas-dorsch,Mittelfeld,1998-01-15 00:00:00,2,20,4,Deutschland,,
2024-25,maximilian-bauer-3,Abwehr,2000-02-09 00:00:00,1,1,5,Deutschland,,
2024-25,marius-wolf,Mittelfeld,1995-05-27 00:00:00,0,0,15,Deutschland,,
2024-25,steve-mounie,Sturm,1994-09-29 00:00:00,0,1,0,Benin,,
2024-25,michael-zetterer,Tor,1995-07-12 00:00:00,0,18,0,Deutschland,,
2024-25,niklas-stark,Abwehr,1995-04-14 00:00:00,0,2,10,Deutschland,,
2024-25,marco-friedl-2,Abwehr,1998-03-16 00:00:00,0,16,0,Österreich,,
2024-25,milos-veljkovic,Abwehr,1995-09-26 00:00:00,5,0,3,Serbien,,
2024-25,mitchell-weiser,Abwehr,1994-04-21 00:00:00,0,0,17,Deutschland,,
2024-25,senne-lynen,Mittelfeld,1999-02-19 00:00:00,0,17,0,Belgien,,
2024-25,felix-agu,Abwehr,1999-09-27 00:00:00,8,0,3,Deutschland,,
2024-25,romano-schmid,Mittelfeld,2000-01-27 00:00:00,11,3,10,Österreich,,
2024-25,jens-stage,Mittelfeld,1996-11-08 00:00:00,2,8,2,Dänemark,,
2024-25,keke-maximilian-topp,Sturm,2004-03-25 00:00:00,0,2,0,Deutschland,,
2024-25,marvin-ducksch,Sturm,1994-03-07 00:00:00,1,17,0,Deutschland,,
2024-25,anthony-jung,Abwehr,1991-11-03 00:00:00,11,0,0,Deutschland,,
2024-25,justin-njinmah,Sturm,2000-11-15 00:00:00,1,3,2,Deutschland,,
2024-25,marco-gruell,Sturm,1998-07-06 00:00:00,0,3,5,Österreich,,
2024-25,leonardo-bittencourt,Mittelfeld,1993-12-19 00:00:00,0,6,0,Deutschland,,
2024-25,skelly-alvero,Mittelfeld,2002-05-04 00:00:00,0,1,0,Frankreich,,
2024-25,robin-zentner,Tor,1994-10-28 00:00:00,0,17,0,Deutschland,,
2024-25,dominik-kohr,Abwehr,1994-01-31 00:00:00,6,1,9,Deutschland,,
2024-25,maxim-leitsch,Abwehr,1998-05-18 00:00:00,6,2,0,Deutschland,,
2024-25,andreas-hanche-olsen,Abwehr,1997-01-17 00:00:00,4,4,1,Norwegen,,
2024-25,anthony-caci,Abwehr,1997-07-01 00:00:00,1,0,16,Frankreich,,
2024-25,kaishu-sano,Mittelfeld,2000-12-30 00:00:00,0,17,0,Japan,,
2024-25,nadiem-amiri,Mittelfeld,1996-10-27 00:00:00,0,16,0,Deutschland,,
2024-25,phillipp-mwene,Abwehr,1994-01-29 00:00:00,19,0,2,Österreich,,
2024-25,karim-onisiwo,Sturm,1992-03-17 00:00:00,0,1,0,Österreich,,
2024-25,jae-sung-lee,Mittelfeld,1992-08-10 00:00:00,12,3,0,Südkorea,,
2024-25,jonathan-burkardt,Sturm,2000-07-11 00:00:00,0,15,0,Deutschland,,
2024-25,stefan-bell,Abwehr,1991-08-24 00:00:00,0,8,0,Deutschland,,
2024-25,armindo-sieb,Sturm,2003-02-17 00:00:00,0,4,2,Deutschland,,
2024-25,nelson-weiper,Sturm,2005-03-17 00:00:00,0,0,0,Deutschland,,
2024-25,paul-nebel,Mittelfeld,2002-10-10 00:00:00,0,0,9,Deutschland,,
2024-25,frederik-roennow,Tor,1992-08-04 00:00:00,0,16,0,Dänemark,,
2024-25,danilho-doekhi,Abwehr,1998-06-30 00:00:00,0,0,17,Niederlande,,
2024-25,kevin-vogt,Abwehr,1991-09-23 00:00:00,0,15,0,Deutschland,,
2024-25,diogo-leite,Abwehr,1999-01-23 00:00:00,15,0,0,Portugal,,
2024-25,christopher-trimmel,Abwehr,1987-02-24 00:00:00,0,0,9,Österreich,,
2024-25,rani-khedira,Mittelfeld,1994-01-27 00:00:00,0,17,0,Deutschland,,
2024-25,robin-gosens,Mittelfeld,1994-07-05 00:00:00,17,0,0,Deutschland,,
2024-25,lucas-tousart,Mittelfeld,1997-04-29 00:00:00,0,2,0,Frankreich,,
2024-25,andras-schaefer,Mittelfeld,1999-04-13 00:00:00,0,15,0,Ungarn,,
2024-25,jordan-siebatcheu,Sturm,1996-04-26 00:00:00,0,8,0,USA,,
2024-25,benedict-hollerbach,Sturm,2001-05-17 00:00:00,6,6,3,Deutschland,,
2024-25,yorbe-vertessen,Sturm,2001-01-08 00:00:00,6,1,1,Belgien,,
2024-25,janik-haberer,Mittelfeld,1994-04-02 00:00:00,0,1,6,Deutschland,,
2024-25,laszlo-benes,Mittelfeld,1997-09-09 00:00:00,6,1,1,Slowakei,,
2024-25,tim-skarke,Sturm,1996-09-07 00:00:00,0,5,0,Deutschland,,
2024-25,leopold-querfeld,Abwehr,2003-12-20 00:00:00,3,2,0,Österreich,,
2024-25,gregor-kobel,Tor,1997-12-06 00:00:00,0,25,0,Schweiz,,
2024-25,waldemar-anton,Abwehr,1996-07-20 00:00:00,0,10,3,Deutschland,,
2024-25,niklas-suele,Abwehr,1995-09-03 00:00:00,0,8,0,Deutschland,,
2024-25,nico-schlotterbeck,Abwehr,1999-12-01 00:00:00,4,22,0,Deutschland,,
2024-25,julian-ryerson,Abwehr,1997-11-17 00:00:00,6,0,17,Norwegen,,
2024-25,emre-can,Mittelfeld,1994-01-12 00:00:00,0,15,0,Deutschland,,
2024-25,pascal-gross-2,Mittelfeld,1991-06-15 00:00:00,2,15,6,Deutschland,,
2024-25,donyell-malen,Sturm,1999-01-19 00:00:00,1,1,9,Niederlande,,
2024-25,marcel-sabitzer,Mittelfeld,1994-03-17 00:00:00,5,5,11,Österreich,,
2024-25,julian-brandt,Mittelfeld,1996-05-02 00:00:00,7,13,0,Deutschland,,
2024-25,karim-adeyemi,Sturm,2002-01-18 00:00:00,3,2,2,Deutschland,,
2024-25,maximilian-beier,Sturm,2002-10-17 00:00:00,0,5,7,Deutschland,,
2024-25,jamie-bynoe-gittens,Sturm,2004-08-08 00:00:00,18,0,0,England,,
2024-25,felix-nmecha,Mittelfeld,2000-10-10 00:00:00,0,16,0,Deutschland,,
2024-25,giovanni-reyna,Mittelfeld,2002-11-13 00:00:00,0,2,0,USA,,
2024-25,ramy-bensebaini,Abwehr,1995-04-16 00:00:00,15,0,0,Algerien,,
2024-25,kevin-trapp,Tor,1990-07-08 00:00:00,0,18,0,Deutschland,,
2024-25,rasmus-kristensen,Abwehr,1997-07-11 00:00:00,1,0,19,Dänemark,,
