match_status,match_id,competition,season,team_off,team_off__id,team_def,team_def__id,team_off__score60,team_def__score60,substitution_replacement__off,substitution_replacementNumber__off,substitution_minute__off,substitution_minuteDelta__off,clearances_total__off__pre,clearances_total__off__post,clearances_total__def__pre,clearances_total__def__post,dribble_total__off__pre,dribble_total__off__post,dribble_total__def__pre,dribble_total__def__post,dribble_success__off__pre,dribble_success__off__post,dribble_success__def__pre,dribble_success__def__post,duel_total__off__pre,duel_total__off__post,duel_total__def__pre,duel_total__def__post,duel_success__off__pre,duel_success__off__post,duel_success__def__pre,duel_success__def__post,fouls_committed__off__pre,fouls_committed__off__post,fouls_committed__def__pre,fouls_committed__def__post,interceptions_total__off__pre,interceptions_total__off__post,interceptions_total__def__pre,interceptions_total__def__post,interceptions_success__off__pre,interceptions_success__off__post,interceptions_success__def__pre,interceptions_success__def__post,pass_shot_assist__off__pre,pass_shot_assist__off__post,pass_shot_assist__def__pre,pass_shot_assist__def__post,pass_goal_assist__off__pre,pass_goal_assist__off__post,pass_goal_assist__def__pre,pass_goal_assist__def__post,pass_success_length__total__off__pre,pass_success_length__total__off__post,pass_success_length__total__def__pre,pass_success_length__total__def__post,pass_success_length__0_5__off__pre,pass_success_length__0_5__off__post,pass_success_length__0_5__def__pre,pass_success_length__0_5__def__post,pass_success_length__5_10__off__pre,pass_success_length__5_10__off__post,pass_success_length__5_10__def__pre,pass_success_length__5_10__def__post,pass_success_length__10_20__off__pre,pass_success_length__10_20__off__post,pass_success_length__10_20__def__pre,pass_success_length__10_20__def__post,pass_success_length__20_40__off__pre,pass_success_length__20_40__off__post,pass_success_length__20_40__def__pre,pass_success_length__20_40__def__post,pass_success_length__40__off__pre,pass_success_length__40__off__post,pass_success_length__40__def__pre,pass_success_length__40__def__post,passes_total__off__pre,passes_total__off__post,passes_total__def__pre,passes_total__def__post,passes_success__off__pre,passes_success__off__post,passes_success__def__pre,passes_success__def__post,shots_total__off__pre,shots_total__off__post,shots_total__def__pre,shots_total__def__post,shots_target__off__pre,shots_target__off__post,shots_target__def__pre,shots_target__def__post,goals_scored__off__pre,goals_scored__off__post,goals_scored__def__pre,goals_scored__def__post,substitution_tactical__off__pre,substitution_tactical__off__post,substitution_tactical__def__pre,substitution_tactical__def__post
69334__62,69334.0,Spain - La Liga,2011/2012,Real Madrid,220.0,Barcelona,217.0,1.0,2.0,Sami Khedira,1.0,62.0,5.0,9.0,0.0,12.0,1.0,13.0,1.0,17.0,1.0,5.0,0.0,10.0,1.0,27.0,27.0,15.0,15.0,6.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,8.0,0.0,6.0,0.0,1.0,0.0,2.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,4070.7535741469815,449.54751618547687,6719.199038823272,240.86349300087488,18.362566163604548,7.3391906167979,56.19157064741908,4.309724409448819,550.1704294619423,69.44368427384077,1033.671012576553,10.285199037620297,1504.852019903762,109.19826006124234,2648.954834864392,73.95581146106736,1603.2945713035872,138.31350831146108,2496.5201071741035,152.31275809273842,394.0739873140858,125.25287292213474,483.86151356080484,0.0,277.0,26.0,436.0,11.0,201.0,22.0,367.0,10.0,11.0,1.0,7.0,1.0,7.0,0.0,6.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
69334__67,69334.0,Spain - La Liga,2011/2012,Real Madrid,220.0,Barcelona,217.0,1.0,2.0,Gonzalo Gerardo Higuaín,1.0,67.0,27.0,9.0,4.0,13.0,9.0,14.0,8.0,18.0,10.0,5.0,5.0,11.0,9.0,27.0,27.0,17.0,17.0,6.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,8.0,8.0,6.0,3.0,1.0,5.0,2.0,1.0,6.0,3.0,2.0,2.0,0.0,0.0,2.0,0.0,4520.301090332458,1765.1309343832022,6960.062531824147,3092.790994422572,25.701756780402448,12.679957895888014,60.501295056867896,19.583629265091865,619.614113735783,176.96710454943135,1043.956211614173,446.58763418635175,1614.0502799650044,572.144741360455,2722.9106463254593,1409.5033825459316,1741.6080796150484,804.7739512248469,2648.8328652668415,888.6450929571303,519.3268602362205,198.5651793525809,483.86151356080484,328.4712554680665,303.0,111.0,447.0,193.0,223.0,83.0,377.0,166.0,12.0,4.0,9.0,2.0,7.0,3.0,7.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0
69312__63,69312.0,Spain - La Liga,2011/2012,Espanyol,214.0,Barcelona,217.0,0.0,1.0,Álvaro Vázquez García,1.0,63.0,30.0,14.0,7.0,14.0,10.0,12.0,5.0,24.0,11.0,7.0,2.0,18.0,9.0,18.0,18.0,22.0,22.0,4.0,0.0,7.0,1.0,0.0,1.0,1.0,0.0,11.0,2.0,3.0,5.0,6.0,1.0,1.0,2.0,10.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,4771.138758530184,1470.6869648950133,8673.689292541558,2667.2650583989507,27.241708661417324,9.181761811023623,20.443740594925636,19.502501749781278,444.77098961067367,145.2617379702537,718.5596311242346,299.56904943132105,1836.8946243438318,569.6807245188102,3527.003793744532,1310.6182414698164,1911.81155511811,671.8062117235346,3576.4487434383204,872.2586318897638,550.4198807961506,74.75652887139108,831.233383639545,165.3166338582677,306.0,105.0,492.0,177.0,231.0,71.0,408.0,146.0,11.0,3.0,5.0,5.0,7.0,1.0,4.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0
69335__78,69335.0,Spain - La Liga,2011/2012,Málaga,223.0,Barcelona,217.0,0.0,3.0,José Luis García del Pozo,1.0,78.0,14.0,13.0,3.0,21.0,4.0,9.0,5.0,21.0,7.0,2.0,3.0,15.0,6.0,15.0,15.0,13.0,13.0,3.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,14.0,3.0,11.0,2.0,4.0,2.0,3.0,1.0,3.0,3.0,7.0,1.0,0.0,0.0,2.0,1.0,4522.925480424323,758.9404749562555,14506.769178915136,1925.2739744094488,43.3912510936133,16.13835553368329,25.440621828521433,19.632447506561682,512.8839690507436,28.314740813648296,1357.8156951006124,216.019834536308,1383.8636045494313,340.2917497812773,6633.940154199476,693.6555561023622,1554.5053357392826,261.38641294838146,5658.16968503937,820.7015398075241,1028.2813199912512,112.8092158792651,831.4030227471565,175.2645964566929,290.0,47.0,803.0,106.0,210.0,35.0,732.0,97.0,4.0,5.0,12.0,3.0,3.0,3.0,9.0,3.0,0.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0
69316__76,69316.0,Spain - La Liga,2011/2012,Real Sociedad,210.0,Barcelona,217.0,0.0,1.0,Joseba Llorente Etxarri,1.0,76.0,7.0,17.0,1.0,18.0,3.0,18.0,3.0,41.0,0.0,10.0,2.0,26.0,0.0,23.0,23.0,14.0,14.0,6.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,15.0,0.0,13.0,0.0,8.0,0.0,5.0,0.0,4.0,0.0,9.0,1.0,1.0,0.0,2.0,0.0,4215.537410104987,116.2390190288714,12176.015941054242,496.3704554899387,28.379691601049867,0.0,83.424655839895,5.569917432195976,506.1794814085739,9.224029965004375,1299.1012770122484,71.642635608049,1101.2010651793526,32.49443678915136,5138.052290573053,222.6584361329834,1221.3277263779528,74.52055227471566,4749.721599956257,146.06503937007872,1358.4494455380575,0.0,905.7161176727909,50.434426946631675,283.0,12.0,707.0,28.0,185.0,5.0,623.0,27.0,6.0,1.0,17.0,1.0,4.0,0.0,12.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
69316__83,69316.0,Spain - La Liga,2011/2012,Real Sociedad,210.0,Barcelona,217.0,0.0,1.0,Imanol Agirretxe Arruti,1.0,83.0,11.0,18.0,4.0,21.0,7.0,21.0,4.0,41.0,5.0,12.0,2.0,26.0,3.0,24.0,24.0,16.0,16.0,6.0,1.0,7.0,2.0,2.0,0.0,1.0,1.0,15.0,0.0,13.0,3.0,8.0,0.0,5.0,0.0,4.0,1.0,10.0,1.0,1.0,0.0,2.0,0.0,4416.3088689851265,496.4668946850394,12695.511340769905,781.4853094925633,28.379691601049867,12.692798009623798,88.99457327209097,8.397875874890637,522.9049330708662,48.05540573053369,1370.7439126202974,133.32263101487314,1171.4341316710413,234.94064960629922,5383.835670931759,287.5293214129484,1335.1406671041118,111.16011701662293,4895.786639326335,352.2354811898513,1358.4494455380575,89.61792432195975,956.1505446194226,0.0,301.0,45.0,736.0,58.0,194.0,27.0,651.0,45.0,7.0,1.0,18.0,1.0,4.0,1.0,13.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
69336__70,69336.0,Spain - La Liga,2011/2012,Barcelona,217.0,Osasuna,422.0,1.0,3.0,Francesc Fàbregas i Soler,1.0,70.0,25.0,18.0,3.0,35.0,20.0,25.0,15.0,9.0,2.0,15.0,12.0,5.0,2.0,15.0,15.0,27.0,27.0,5.0,1.0,8.0,2.0,2.0,0.0,2.0,0.0,7.0,3.0,9.0,3.0,3.0,0.0,2.0,2.0,8.0,3.0,2.0,2.0,1.0,1.0,3.0,0.0,6771.900576881015,2199.776858705162,3213.4914667541557,404.63123698600185,108.70372637795276,17.27644619422572,21.00060083114611,0.0,986.3661232502188,288.54575973315843,419.9156433727034,68.72716108923885,2338.9671139545053,967.5112330489937,865.1034005905511,165.05460301837275,2509.314387576553,761.2819750656168,1185.8195877077862,60.60429571303587,828.5492257217848,165.1614446631671,721.6522342519686,110.24517716535433,479.0,167.0,262.0,46.0,361.0,123.0,149.0,23.0,13.0,6.0,5.0,2.0,10.0,5.0,5.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,2.0
69328__65,69328.0,Spain - La Liga,2011/2012,Valencia,207.0,Barcelona,217.0,1.0,2.0,Jordi Alba Ramos,1.0,65.0,17.0,18.0,5.0,11.0,5.0,8.0,4.0,33.0,2.0,4.0,0.0,24.0,2.0,26.0,26.0,13.0,13.0,8.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,11.0,4.0,5.0,2.0,6.0,3.0,4.0,2.0,0.0,0.0,12.0,5.0,1.0,0.0,0.0,0.0,3501.4326300306216,1375.68778455818,8750.926846566055,1173.9443359580052,34.21938353018373,11.990848206474192,57.30958683289589,14.532331583552057,299.55641251093607,143.95237434383202,899.2265942694664,125.1763279746282,1205.244746281715,460.8403745625547,3711.8259935476817,507.17495024059497,1256.0104965004375,533.2934919072616,3267.401643700787,453.41376640419946,706.4015912073492,225.61069553805777,815.163028215223,73.64695975503062,251.0,90.0,520.0,85.0,164.0,68.0,441.0,64.0,2.0,1.0,18.0,8.0,2.0,1.0,14.0,5.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0
69328__82,69328.0,Spain - La Liga,2011/2012,Valencia,207.0,Barcelona,217.0,1.0,2.0,Mehmet Topal,1.0,82.0,10.0,23.0,2.0,16.0,1.0,12.0,1.0,35.0,3.0,4.0,1.0,26.0,2.0,28.0,28.0,19.0,19.0,8.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,15.0,2.0,7.0,0.0,9.0,1.0,6.0,0.0,0.0,0.0,17.0,1.0,1.0,0.0,0.0,1.0,5063.66732403762,710.1875627734031,9957.453701115484,1041.6280834426948,46.21023173665792,5.658404746281715,71.84191841644795,0.0,453.2074788932633,58.590312335958004,1024.4029222440945,96.00385608048995,1746.362043416448,237.19013943569553,4219.000943788276,387.37451607611547,1823.6540671478563,164.4484131671041,3753.397928696413,505.738731408574,994.2335028433946,244.30029308836396,888.8099879702536,52.51097987751531,351.0,44.0,608.0,58.0,240.0,30.0,506.0,50.0,3.0,0.0,26.0,4.0,3.0,0.0,19.0,2.0,1.0,0.0,3.0,2.0,2.0,0.0,2.0,1.0
69322__61,69322.0,Spain - La Liga,2011/2012,Racing Santander,1217.0,Barcelona,217.0,0.0,2.0,Adrián González Morales,1.0,61.0,8.0,18.0,2.0,4.0,1.0,14.0,0.0,21.0,3.0,3.0,0.0,12.0,2.0,16.0,16.0,12.0,12.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,2746.4332921041123,250.29731025809275,8628.097732174103,1212.8366345144357,27.96874026684165,0.0,94.78554090113735,9.511495844269469,349.91345713035867,27.19010881452319,1442.882248687664,289.7743206474191,877.6634951881015,112.39133967629044,4746.518154527559,644.3555183727034,710.5261286089238,44.889063867016624,2124.934095581802,216.67088582677167,780.3614709098863,65.82679790026248,218.97769247594053,52.52441382327209,189.0,19.0,588.0,88.0,128.0,11.0,525.0,81.0,0.0,0.0,16.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
